episode,total_reward
685,-584.3489111000196
686,-589.0279690010366
687,-598.790987323138
688,-580.1724844772989
689,-576.3679857774864
690,-603.5893019312616
691,-574.4635486885646
692,-575.1630194949604
693,-572.1148906590649
694,-565.8874800608747
695,-575.9980374616997
696,-589.9243700079711
697,-579.2157847868732
698,-559.310878213565
699,-574.3353903556734
700,-574.8555471655532
701,-579.047758917761
702,-577.0579823453671
703,-587.5467973298358
704,-579.5481141967922
705,-592.2320902307287
706,-571.0201952887137
707,-581.7540407624922
708,-585.4259949873176
709,-573.4839314565119
710,-584.2453353774986
711,-562.4856038742813
712,-573.0304541146487
713,-601.3978044471362
714,-579.4812251385281
715,-585.9436197714596
716,-578.1661413881815
717,-562.259102614309
718,-587.7927799656876
719,-573.2228830804482
720,-580.8710160954586
721,-597.3180334832948
722,-587.7143840853278
723,-577.1460131025013
724,-593.1336663842467
725,-582.6676322350319
726,-575.4328012497898
727,-600.382935151694
728,-580.5718539273239
729,-569.0552008794235
730,-587.212692447856
731,-575.8032569744439
732,-581.16696753629
733,-610.3057814503017
734,-595.6121526928786
735,-587.603700814256
736,-589.8686878022975
737,-597.7130058081815
738,-578.7063049901037
739,-601.086679854666
740,-578.3610761115385
741,-584.7304303859299
742,-572.762917431289
743,-586.0657910619178
744,-593.1217522189029
745,-574.1178392298983
746,-562.0980801259072
747,-595.0344999004972
748,-593.4879871773629
749,-531.2160082786363
750,-562.6025979795959
751,-577.2930040060472
752,-539.5139607716746
753,-549.7870721313318
754,-576.8614519682917
755,-559.4561491860909
756,-579.5333982394931
757,-548.3716897404028
758,-558.313350635911
759,-563.4168270864078
760,-561.3931697194307
761,-586.6379701059342
762,-555.9940315748864
763,-566.6777587952816
764,-587.9403601461621
765,-558.1145745729689
766,-561.24812133665
767,-606.3674004534397
768,-574.8964671452895
769,-575.5601704561742
770,-572.8967834468607
771,-572.6026265564724
772,-589.616310918812
773,-593.3730984985559
774,-579.8053910687062
775,-587.5653466048757
776,-561.5254360146032
777,-578.7396606990688
778,-550.6130550757019
779,-573.5322399446803
780,-578.9043237179902
781,-581.1202555722849
782,-576.699661994437
783,-565.3605253273014
784,-567.0302683231025
785,-573.9970989706104
786,-562.8496778907969
787,-570.6982750002588
788,-581.2030869914805
789,-572.9481658096863
790,-576.2858059445448
791,-589.790032291844
792,-559.3580595442497
793,-566.2349178148979
794,-583.0939743836088
795,-572.4790977932473
796,-603.9738773105069
797,-575.2817739633501
798,-614.5789650941324
799,-583.1482142473873
800,-571.7349323970567
801,-594.9248724681073
802,-583.6383063065188
803,-590.5893325431706
804,-591.9560791092551
805,-569.5763300526335
806,-587.4360066279432
807,-574.4967890270669
808,-585.892117210691
809,-593.6986786237475
810,-606.8864516259895
811,-586.3205514944932
812,-581.7108531279872
813,-579.8424914583256
814,-568.3986707817338
815,-566.3118897632055
816,-600.3760991991761
817,-575.1231409629685
818,-593.9224995059456
819,-581.8623505950172
820,-583.2358436675961
821,-576.9495452459303
822,-575.3059523496744
823,-555.9758906397326
824,-603.0522755792051
825,-583.2547093232688
826,-591.8161400258119
827,-572.2288011719379
828,-568.8372720849216
829,-584.3116308851211
830,-578.3291482544314
831,-557.275822183895
832,-584.56032971458
833,-598.3877934589981
834,-578.5164904857367
835,-573.7110640234268
836,-579.8166851840028
837,-589.1422444940958
838,-581.5104257663787
839,-577.0116015551836
840,-620.5997215461559
841,-609.3991144176248
842,-563.2079445393972
843,-579.8176502458609
844,-565.3536271313349
845,-560.3203979349308
846,-587.6684976595743
847,-580.5181305941383
848,-590.3675531529642
849,-581.4147221976333
850,-587.7587622307423
851,-571.2794296823834
852,-562.4896492674227
853,-580.2970734644474
854,-593.5229220574939
855,-592.1232417298875
856,-594.7085969335099
857,-576.4870108541414
858,-580.1904428328447
859,-582.200663179129
860,-574.9415305855503
861,-581.5889436001548
862,-596.5731274082984
863,-574.1805359495146
